node,handle,topic_type,topics,post_count,engagement,in_degree,out_degree,weighted_in_degree,weighted_out_degree
did:plc:rzjahjoeywvd5tr2f2fcbzxh,stijngabeler.bsky.social,padel_only,['padel'],1,5,0,0,0,0
did:plc:rhdramrdlpskeewavbzvwsiz,newsmonkey.bsky.social,both,"['padel', 'tennis']",3,0,0,0,0,0
did:plc:cb4evmlw7wnxe5zn7hzka24c,katrinatennis.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:ydmq7t2kbuo6mmqjwpk3oagk,internazionaliditalia.stadio.top,padel_only,['padel'],1,1,0,0,0,0
did:plc:6b7fwvimx5mgq4sxsjocq4vb,matiasmestas.bsky.social,padel_only,['padel'],4,1,0,0,0,0
did:plc:ecgdn6kwgm2xv34vf5qy3xpx,redbullcontentpool.bsky.social,padel_only,['padel'],2,0,0,0,0,0
did:plc:sq6ntbvmarcrjoliehsarj6c,aquitaineonline.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:bvuc55zkkmiw2axaprxb5h37,padelreviews.bsky.social,padel_only,['padel'],6,4,0,0,0,0
did:plc:k3aag2zh65uyvcasevy7xolo,premierpadeltour.bsky.social,padel_only,['padel'],2,4,0,0,0,0
did:plc:bz3sz5avcfmda6xrgabj7n7k,ilrestodelcarlino.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:w2gntyapumy3a77qfk6kixw6,estrelladigital.bsky.social,padel_only,['padel'],3,1,0,0,0,0
did:plc:2wjtvuonwzrs3e7xt5ys7ppq,corresponsables.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:mjhm6yvzigmsuojtaxydriga,jaimedyp.bsky.social,padel_only,['padel'],9,5,0,0,0,0
did:plc:ueubax7r35l3yjgvq27nexqi,premierpadel.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:6wa3ucqbvbrunx3rnwc5jqua,elcomerciodigit.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:nm7nu2tty25b7h4grpfilris,webdepordata.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:aj26gvddq3s3oa62ftnouhjv,onosolar.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:dke5mkgy6czitsr35mjdv2jd,ipasky.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:mvdely3wllpaingpfapeqshh,pacoramosamat.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:7kt2g5jmef47kkc7zchprjlj,padelspain.bsky.social,padel_only,['padel'],4,10,0,1,0,1
did:plc:2vwy7pulccyspencijwy64yq,ellelle11.bsky.social,padel_only,['padel'],1,3,0,0,0,0
did:plc:n7miv5x6wwve6eo4hx7nwf5z,handle.invalid,padel_only,['padel'],1,0,0,0,0,0
did:plc:ujcfuunnifiu3jwuf3vek6ee,actusfr.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:ibb2jb7pdtzn72zhpwk6qaz5,duranie68.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:nuwoqeoitgkuihrpzo3jefdg,pressdemo.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:blass7dzfpqbs7k4iauav6pz,bryb.bsky.social,tennis_only,['tennis'],1,5,0,0,0,0
did:plc:it6yfzovkk6ynwpf2nm3g35b,hottennisbabes.bsky.social,tennis_only,['tennis'],11,3,0,0,0,0
did:plc:vrcsr5hdv3bsi47jqbtjmsxi,glitchdeals.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:wrsf35zye5xmlfaje5zyyega,us-news.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:ftkrrhmlsyzc3e4ksuc7ykxi,frintze.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
